,,AMESBURY BALLROOM (850),AMESBURY BALLROOM ABC (400),AMESBURY BALLROOM D (360),INMAN SQUARE (100),CENTRAL SQUARE (100),KENDALL SQUARE (100),PORTER SQUARE A (60),PORTER SQUARE B (60),HARVARD SQUARE A (60),HARVARD SQUARE B (60),,,
Date,Time,,,,,,,,,,,,,
,4:30 PM,Set-up for Banquet,,,Social Networks 3,Higher-order & Multilayer Networks 3,Machine Learning & AI 1,Science of Science 2,Network Epidemics & Spreading 2,Network Renormalization,Innovation and Collaboration,,42,talks
,4:45 PM,Set-up for Banquet,,,Social Networks 3,Higher-order & Multilayer Networks 3,Machine Learning & AI 1,Science of Science 2,Network Epidemics & Spreading 2,Network Renormalization,Innovation and Collaboration,,,
,5:00 PM,Set-up for Banquet,,,Social Networks 3,Higher-order & Multilayer Networks 3,Machine Learning & AI 1,Science of Science 2,Network Epidemics & Spreading 2,Network Renormalization,Innovation and Collaboration,,,
,5:15 PM,Set-up for Banquet,,,Social Networks 3,Higher-order & Multilayer Networks 3,Machine Learning & AI 1,Science of Science 2,Network Epidemics & Spreading 2,Network Renormalization,Innovation and Collaboration,,,
,5:30 PM,Set-up for Banquet,,,Social Networks 3,Higher-order & Multilayer Networks 3,Machine Learning & AI 1,Science of Science 2,Network Epidemics & Spreading 2,Network Renormalization,Innovation and Collaboration,,,
,5:45 PM,Set-up for Banquet,,,Social Networks 3,Higher-order & Multilayer Networks 3,Machine Learning & AI 1,Science of Science 2,Network Epidemics & Spreading 2,Network Renormalization,Innovation and Collaboration,,,
,6:00 PM,Set-up for Banquet,,,Chair: Pranav Goel,Chair: Federico Malizia,Machine Learning & AI 1,Science of Science 2,Network Epidemics & Spreading 1,,Chair: Morgan Frank,,,
,6:15 PM,Set-up for Banquet,,,,,Chair: Moritz Laber,Chair: Rodrigo Dorantes-Gilardi,Chair: Amanda Perofsky,,,,,
,6:30 PM,Set-up for Banquet,,,,,,,,,,,,
,6:45 PM,Set-up for Banquet,,,,,,,,,,,,
,7:00 PM,,,,,,,,,,,,,
,7:15 PM,,,,,,,,,,,,,
,7:30 PM,Banquet,,,,,,,,,,,,
,7:45 PM,Banquet,,,,,,,,,,,,
,8:00 PM,Banquet,,,,,,,,,,,,
,8:15 PM,Banquet,,,,,,,,,,,,
,8:30 PM,Banquet,,,,,,,,,,,,
,8:45 PM,Banquet,,,,,,,,,,,,
,9:00 PM,Banquet,,,,,,,,,,,,
,9:15 PM,Banquet,,,,,,,,,,,,
,9:30 PM,Banquet,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Friday, June 5",8:00 AM,,,,,,,,,,,,,
,8:15 AM,,,,,,,,,,,,,
,8:30 AM,,,,,,,,,,,,,
,8:45 AM,Euler Prize,Laszlo Barabasi,,,,,,,,,,,
,9:00 AM,Euler Prize,Laszlo Barabasi,,,,,,,,,,,
,9:15 AM,Euler Prize,Laszlo Barabasi,,,,,,,,,,,
,9:30 AM,Euler Prize,Laszlo Barabasi,,,,,,,,,,,
,9:45 AM,ER Prize,Laurent Hébert-Dufresne,,,,,,,,,,,
,10:00 AM,ER Prize,Laurent Hébert-Dufresne,,,,,,,,,,,
,10:15 AM,ER Prize,Laurent Hébert-Dufresne,,,,,,,,,,,
,10:30 AM,ER Prize,Laurent Hébert-Dufresne,,,,,,,,,,,
,10:45 AM,,,,,,,,,,,,,
,11:00 AM,PS 3.1,,,PS 3.2,PS 3.3,PS 3.4,PS 3.5,PS 3.6,PS 3.7,PS 3.8,,8,sessions
,11:15 AM,Biological Networks 2,,,Temporal Networks,Network Epidemics & Spreading 3,Machine Learning & AI 2,Science of Science 3,"Mobility, Spatial & Urban Networks 3",Dynamics & Control 2,Economic Networks 2,,48,talks
,11:30 AM,Biological Networks 2,,,Temporal Networks,Network Epidemics & Spreading 3,Machine Learning & AI 2,Science of Science 3,"Mobility, Spatial & Urban Networks 3",Dynamics & Control 2,Economic Networks 2,,,
,11:45 AM,Biological Networks 2,,,Temporal Networks,Network Epidemics & Spreading 3,Machine Learning & AI 2,Science of Science 3,"Mobility, Spatial & Urban Networks 3",Dynamics & Control 2,Economic Networks 2,,,
,12:00 PM,Biological Networks 2,,,Temporal Networks,Network Epidemics & Spreading 3,Machine Learning & AI 2,Science of Science 3,"Mobility, Spatial & Urban Networks 3",Dynamics & Control 2,Economic Networks 2,,,
,12:15 PM,Biological Networks 2,,,Temporal Networks,Network Epidemics & Spreading 3,Machine Learning & AI 2,Science of Science 3,"Mobility, Spatial & Urban Networks 3",Dynamics & Control 2,Economic Networks 2,,,
,12:30 PM,Biological Networks 2,,,Temporal Networks,Network Epidemics & Spreading 3,Machine Learning & AI 2,Science of Science 3,"Mobility, Spatial & Urban Networks 3",Dynamics & Control 2,Economic Networks 2,,,
,12:45 PM,Chair: Bnaya Gross,,,,Chair: Nicolo Gozzi,Chair: Germans Savcisens,Chair: Dakota Murray,Chair: Carmen Cabrera,,Chair: Erik Braun,,,
,1:00 PM,,,,,,,,,,,,,
,1:15 PM,,,,,,,,,,,,,
,1:30 PM,,,,,,,,,,,,,
,1:45 PM,,,,,,,,,,,,,
,2:00 PM,,,,,,,,,,,,,
,2:15 PM,,,,,,,,,,,,,
,2:30 PM,Keynote 6,Sarika Jalan,,,,,,,,,,,
,2:45 PM,Keynote 6,Sarika Jalan,,,,,,,,,,,
,3:00 PM,Keynote 6,Sarika Jalan,Oscillators,,,,,,,,,,
,3:15 PM,Invited 5,Ulrik Brandes,Graph theory,,,,,,,,,,
,3:30 PM,Invited 5,Ulrik Brandes,,,,,,,,,,,
,3:45 PM,,,,,,,,,,,,,
,4:00 PM,PS 3.9,,,PS 3.10,PS 3.11,PS 3.12,,,PS 3.13,PS 3.14,,8,sessions
,4:15 PM,Brain Networks,,,Social Networks 4,Higher-order & Multilayer Networks 3,"Algorithms, Inference & Reconstruction 3",,,Dynamics & Control 3,Network Theory 3,,40,talks
,4:30 PM,Brain Networks,,,Social Networks 4,Higher-order & Multilayer Networks 3,"Algorithms, Inference & Reconstruction 3",,,Dynamics & Control 3,Network Theory 3,,,
